"PC1","PC2","LESIONS","ROI"
-2.14642031640463,0.0556492030748628,"STIC.C","Epithelial"
-1.97454879192812,-0.0359454756147154,"STIC.C","Epithelial"
-2.35893369165146,0.205508321319931,"STIC.C","Epithelial"
-1.94160020698457,-0.222945557590185,"Cancer (Floating)","Epithelial"
-1.80481453011375,-0.280690586488859,"Cancer (Floating)","Epithelial"
-2.61687847222281,0.00618941428985448,"Fimbriae.C","Epithelial"
1.21188148852737,1.12152196287749,"Fimbriae.C","Epithelial"
-1.85730599538003,-0.189514488794763,"Fimbriae.C","Epithelial"
-1.98761729231892,0.149347014870619,"Inv Cancer","Epithelial"
-0.291279155390359,-0.618067015621774,"Inv Cancer","Epithelial"
-2.48942072873421,0.176640598985087,"Inv Cancer","Epithelial"
-2.54109846812764,0.0657145260610603,"Cancer (Floating)","Epithelial"
4.38294315787017,1.90525228763898,"STIL.C","Stroma"
-0.949474619965168,-0.177735463567639,"STIL.C","Epithelial"
8.72841130737632,0.685061469440223,"STIL.C","Stroma"
-0.660036935999427,1.16796783268683,"STIL.C","Epithelial"
4.96149567700267,2.66031869707049,"STIL.C","Stroma"
-1.04463081215324,0.406242347643698,"STIL.C","Epithelial"
-1.11267742949667,0.0400096496597272,"STIC.C","Stroma"
-1.59020487272575,-0.338960131802524,"STIC.C","Epithelial"
-0.740110127157277,-0.282482937701378,"STIC.C","Stroma"
-1.39402975749273,0.22233504830713,"STIC.C","Epithelial"
-0.144051830010642,0.394827503851334,"STIC.C","Stroma"
-2.15736493966262,-0.335351839541884,"STIC.C","Epithelial"
-0.758865668856366,-0.0267949549139369,"STIC.C","Stroma"
-2.13594439318869,-0.453002133604497,"STIC.C","Epithelial"
-0.581856278306869,-0.0719145670586202,"STIC.C","Stroma"
-1.75826051629083,0.217469504635616,"STIC.C","Epithelial"
-1.35957246465,0.095177179040529,"STIC.C","Stroma"
0.768679892058963,0.0430973513759688,"STIC.C","Epithelial"
3.77707921797766,2.2409524299181,"Inv Cancer","Stroma"
-2.26491580484305,-0.361160473331413,"Inv Cancer","Epithelial"
7.97894400354693,2.09037224160427,"Inv Cancer","Stroma"
-1.85530398722144,-0.152502944454748,"Inv Cancer","Epithelial"
4.12473118493131,-1.74477849804438,"Inv Cancer","Stroma"
-1.85876247210807,-0.250191328599019,"Inv Cancer","Epithelial"
-1.96493132219008,-0.127925522730776,"p53 Signature.C","Epithelial"
-0.523348037850718,-0.145622083682459,"p53 Signature.C","Epithelial"
-0.175025233766513,0.261710715239102,"p53 Signature.C","Epithelial"
1.69524944774927,-0.784076876724033,"STIC.C","Epithelial"
0.276487624220641,-1.67219365894888,"STIC.C","Epithelial"
-2.42191092130375,-0.353352869539006,"Inv Cancer","Epithelial"
-1.64929244580561,-0.458732713982492,"Inv Cancer","Epithelial"
-2.43364361979215,-0.314280462196105,"Inv Cancer","Epithelial"
-1.70772127167165,-0.686105629576604,"Cancer (Floating)","Epithelial"
-2.32308317774808,0.235189133948562,"FT.C","Epithelial"
1.57296413704406,-2.60833937056924,"FT.C","Epithelial"
-0.235917497673726,-0.389325424386907,"FT.C","Epithelial"
-0.0794263897085359,-1.39488447554765,"FT.C","Epithelial"
-0.526805353974513,-1.733251374177,"STIC.C","Epithelial"
0.348122759860176,-2.11345855803665,"STIC.C","Epithelial"
-0.242353367664931,-1.49161774260598,"STIC.C","Epithelial"
0.879882062361687,-0.997787259941663,"STIC.C","Epithelial"
-1.37798505351069,-0.836221066151451,"Cancer (Floating)","Epithelial"
-0.5312117232891,-1.23274770727675,"Cancer (Floating)","Epithelial"
0.658098379421534,-0.91180101004594,"Cancer (Floating)","Epithelial"
-1.51775452074872,-0.998252850987896,"Inv Cancer","Epithelial"
-0.660462494413877,-0.727043851440857,"Inv Cancer","Epithelial"
-0.625631449576698,-0.702144448921955,"Inv Cancer","Epithelial"
-2.17748450219165,-0.52907156782667,"p53 Signature.C","Epithelial"
-2.30244181723904,-0.36175196481372,"p53 Signature.C","Epithelial"
-0.879756770994664,0.240409482698009,"p53 Signature.C","Epithelial"
-1.62427908469496,-0.0839931636090962,"STIC.C","Stroma"
-1.96150333741764,-0.356448884489331,"STIC.C","Epithelial"
-1.76535748110385,0.171355801125887,"STIC.C","Stroma"
-2.64796937027966,-0.223503899757319,"STIC.C","Epithelial"
-1.74505633227113,-0.153601590642489,"STIC.C","Stroma"
-2.25237660443404,-0.385739351633077,"STIC.C","Epithelial"
-2.69867471656177,-0.212223547012881,"Inv Cancer","Epithelial"
-2.18433480105328,-0.354234949282424,"Inv Cancer","Epithelial"
-2.00400416051678,0.170998107005861,"Inv Cancer","Epithelial"
-2.53835239090436,-0.358877508002428,"Inv Cancer","Epithelial"
-2.355700246108,-0.666776285531777,"Inv Cancer","Epithelial"
-1.83798814164505,-0.965214363332546,"Inv Cancer","Epithelial"
1.49939431059031,-0.784921370835307,"Inv Cancer","Stroma"
-0.806818407824669,-0.857451049263809,"Inv Cancer","Epithelial"
-0.379609520518242,-0.441665395563962,"Inv Cancer","Epithelial"
-0.183023690949033,-1.48540029116726,"Inv Cancer","Epithelial"
-2.59641690464865,-0.3985225983928,"STIC.C","Epithelial"
-2.07313025354703,-0.39482021464113,"STIC.C","Epithelial"
-2.55181027429045,-0.425160055274417,"STIC.C","Epithelial"
-2.68823335399893,-0.282476490938007,"STIC.C","Epithelial"
-2.47739794410587,-0.0808187020319875,"FT.C","Epithelial"
-1.95837917643202,-0.0430788873087388,"Inv Cancer","Epithelial"
-0.659973868282162,-0.0456817906105441,"Inv Cancer","Epithelial"
1.64021991580613,2.1838534163935,"Inv Cancer","Epithelial"
2.97738146579759,2.49258370951602,"Inv Cancer","Epithelial"
-0.194360012595643,0.638209238907348,"Inv Cancer","Epithelial"
1.47508262580141,-0.124565811820034,"Inv Cancer","Epithelial"
6.04759696049506,3.66389590903423,"Inv Cancer","Epithelial"
4.14269016399172,3.10763093111933,"Inv Cancer","Epithelial"
1.37973279457047,-0.136119200412628,"Cancer (Floating)","Epithelial"
-1.66391944889885,-0.449478116407733,"STIC.C","Epithelial"
10.3634089098512,-5.33952052029465,"STIC.C","Epithelial"
-1.53587647047134,-0.410171630717984,"STIC.C","Epithelial"
-1.45027659946323,0.631089407183454,"p53 Signature.C","Epithelial"
4.2473563783653,-5.87159262205831,"Inv Cancer","Stroma"
0.79133788173038,-4.72562115831635,"Inv Cancer","Epithelial"
4.75599519887646,-5.6123973849966,"Inv Cancer","Stroma"
5.44881684033063,-7.52566196107002,"Inv Cancer","Epithelial"
0.600446686118947,-2.96371339944933,"Inv Cancer","Stroma"
-0.840508135316829,-3.00603739702947,"Inv Cancer","Epithelial"
3.10446780028232,-2.52211113756006,"Inv Cancer","Stroma"
-1.36945114400743,-1.26443074636512,"Inv Cancer","Epithelial"
7.53273780484789,-2.8370653358526,"Inv Cancer","Stroma"
0.161474439814848,-1.61054254732014,"Inv Cancer","Epithelial"
3.50134526529613,-2.55044653554606,"Inv Cancer","Stroma"
-2.1541321198322,-0.633177125256086,"Inv Cancer","Epithelial"
3.23188590995826,-8.88025213335792,"Inv Cancer","Stroma"
0.49201745492706,-3.71104832333396,"Inv Cancer","Epithelial"
-1.32540701048329,-0.150095641518887,"Fimbriae.C","Epithelial"
8.91386327195998,-8.13328920059328,"Inv Cancer","Stroma"
1.45781263291263,-2.72230805310093,"Inv Cancer","Epithelial"
-0.996319931747817,-0.444942047693664,"Fimbriae.C","Epithelial"
5.19073526741234,-5.17777302706213,"Inv Cancer","Stroma"
2.37251054607278,-5.16134935911351,"Inv Cancer","Epithelial"
-1.73745260018576,-0.809313729188521,"STIC.C","Epithelial"
-0.845543925049508,-0.417051951786409,"STIC.C","Epithelial"
0.703397819177347,-2.71322768411514,"STIC.C","Epithelial"
-2.27764158111279,-0.561015036050836,"STIC.C","Epithelial"
-2.52638569556354,-0.524921713611928,"STIC.C","Epithelial"
-2.62597750114865,-0.200953802989778,"STIC.C","Epithelial"
-2.41999727504139,-0.447336077948288,"Inv Cancer","Epithelial"
-2.35037895533596,-0.296137694590016,"Inv Cancer","Epithelial"
-2.63416467012367,-0.00846406763004806,"Inv Cancer","Epithelial"
-2.46057896130846,-0.124368158304582,"Cancer (Floating)","Epithelial"
-2.31609114209558,-0.331556268636418,"FT.C","Epithelial"
-0.0440575362901098,-0.633557440932166,"Inv Cancer","Epithelial"
10.3971472375872,4.3064240203384,"Inv Cancer","Stroma"
-1.23949147141157,-0.502071675994963,"Inv Cancer","Epithelial"
-1.60467142229155,0.00365380305432021,"Inv Cancer","Epithelial"
-1.51227290276962,-0.0325243129358468,"Inv Cancer","Epithelial"
-1.04619917715868,-0.184548233302228,"Inv Cancer","Epithelial"
-1.11343088732209,-0.3114988413499,"p53 Signature.C","Epithelial"
-1.5859838266582,0.344998706550845,"STIC.C","Epithelial"
-0.831095501776006,0.633778594266905,"STIC.C","Epithelial"
-1.76506819496251,0.15798199225199,"STIC.C","Epithelial"
-2.52176573568097,-0.314194067380811,"Inv Cancer","Epithelial"
-1.62791902438275,-1.09421150956126,"Inv Cancer","Epithelial"
-1.73798767105388,-0.845696115014473,"Inv Cancer","Epithelial"
-2.27057960449572,0.400078609776741,"FT.C","Epithelial"
0.819538566796891,-0.430377444758249,"Inv Cancer","Epithelial"
14.0233327678171,7.0874003886734,"Inv Cancer","Stroma"
-1.42409199500595,-0.266955338761072,"Inv Cancer","Epithelial"
-0.949489567798278,-0.353892390580719,"Inv Cancer","Epithelial"
11.5858780489518,2.50446851054692,"Inv Cancer","Stroma"
11.1620877809413,0.875694630587273,"Inv Cancer","Stroma"
-1.4216965471683,-0.575407967720041,"Inv Cancer","Epithelial"
-1.43483425578433,-0.828340531871146,"Inv Cancer","Epithelial"
1.31957426184483,1.02946798482482,"Inv Cancer","Stroma"
0.851864744612401,0.999385549254145,"Inv Cancer","Stroma"
-1.47975367400186,0.552384410142739,"Inv Cancer","Stroma"
-2.34410643259767,-0.251266906992522,"Inv Cancer","Epithelial"
