"tSNE1","tSNE2","LESIONS","ROI","BRCA"
-12.8395283294116,-5.99123874450707,"Inv Cancer","Epithelial","BRCA1"
-12.8480901307012,-5.96421085027728,"Inv Cancer","Epithelial","BRCA1"
-12.9042465986776,-5.92020796320836,"Inv Cancer","Epithelial","BRCA1"
-14.7881518670954,-5.37110892577124,"Inv Cancer","Epithelial","BRCA1"
-14.8381384423001,-5.31695559551092,"Inv Cancer","Epithelial","BRCA1"
-14.7840810771994,-5.32867891983005,"Inv Cancer","Epithelial","BRCA1"
-15.0468952431734,-5.17069972544214,"Cancer (Floating)","Epithelial","BRCA1"
-13.9353620149246,-4.89350934736115,"STIC.C","Epithelial","BRCA1"
-3.43097313312418,-6.89471565202472,"STIC.C","Epithelial","BRCA1"
-13.9025643957089,-5.13700437561809,"STIC.C","Epithelial","BRCA1"
-7.12144275940048,-5.6403927300166,"p53 Signature.C","Epithelial","BRCA1"
-9.63705976867361,-12.9711196145537,"Inv Cancer","Stroma","WT"
-13.4204972191009,-10.9238587261529,"Inv Cancer","Epithelial","WT"
-8.95871611570918,-12.8170058979561,"Inv Cancer","Stroma","WT"
-12.4478478042959,-11.3407300867434,"Inv Cancer","Epithelial","WT"
-8.54413597620412,-13.0329353912849,"Inv Cancer","Stroma","WT"
-13.5112786663489,-10.8865397202287,"Inv Cancer","Epithelial","WT"
-8.88508493906949,-13.2359703086677,"Inv Cancer","Stroma","WT"
-13.0618238923372,-11.1056808602597,"Inv Cancer","Epithelial","WT"
-9.628168722986,-12.9265306772167,"Inv Cancer","Stroma","WT"
-13.1845097060204,-11.0504508459308,"Inv Cancer","Epithelial","WT"
-9.28496491825518,-12.997004494712,"Inv Cancer","Stroma","WT"
-13.2292617357983,-10.9955095356232,"Inv Cancer","Epithelial","WT"
-11.3059434180412,-12.34875406142,"Inv Cancer","Stroma","WT"
-11.8471411538033,-11.6068315431208,"Inv Cancer","Epithelial","WT"
-7.94065647807733,-10.511470395464,"Fimbriae.C","Epithelial","WT"
-9.51258261125211,-12.1098696811881,"Inv Cancer","Stroma","WT"
-11.0079254375648,-11.8338251939748,"Inv Cancer","Epithelial","WT"
-8.15231506571193,-10.8863957093422,"Fimbriae.C","Epithelial","WT"
-8.44846815912101,-12.6068859915726,"Inv Cancer","Stroma","WT"
-11.9384841409731,-11.4097779974888,"Inv Cancer","Epithelial","WT"
-16.2008907773132,-2.88446009317991,"STIC.C","Epithelial","WT"
-16.1160893124336,-2.39232801862149,"STIC.C","Epithelial","WT"
-14.9418862576151,-1.83763380841404,"STIC.C","Epithelial","WT"
-16.6479107223815,-1.86928530822464,"STIC.C","Epithelial","WT"
-16.6494802577292,-1.93514009317853,"STIC.C","Epithelial","WT"
-16.6358259010801,-1.9251206360335,"STIC.C","Epithelial","WT"
-15.4521125707455,-1.84671986150191,"Inv Cancer","Epithelial","WT"
-15.0506721681299,-1.7275557085367,"Inv Cancer","Epithelial","WT"
-15.4342504091631,-1.74081190665101,"Inv Cancer","Epithelial","WT"
-16.283776560048,-2.84384585339626,"Cancer (Floating)","Epithelial","WT"
-8.72175254491909,-9.01714042407488,"FT.C","Epithelial","WT"
-20.3335860436755,-0.144811229608285,"Inv Cancer","Epithelial","WT"
-7.19266503997438,-12.4116575434348,"Inv Cancer","Stroma","WT"
-20.7008786213902,0.68917029037251,"Inv Cancer","Epithelial","WT"
-19.4821971738184,0.407932777699616,"Inv Cancer","Epithelial","WT"
-20.1551944416016,0.600092448157901,"Inv Cancer","Epithelial","WT"
