"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",4.8458712443384e-06,1.15377886769962e-05,0.610526878385931,0.512485234117479,1.99257968249679,87,"PIM1; TNFRSF12A; STAT1; GRB2; STAT2; TNFRSF21; SOCS3; IRF9; LTB; PTPN2; EBI3; TGFB1; TYK2; CXCL9; PTPN1; TNF; JUN; HAX1; LTBR; CXCL1; MAP3K8; BAK1; MYD88; ITGA4; IFNGR1; OSMR; CXCL11; CXCL13; SOCS1; ACVR1B; IL13RA1; CBL; IL4R; CD14; PIK3R5; HMOX1; CD9; IL6"
"HALLMARK_UV_RESPONSE_UP",9.98196717345412e-08,3.56498827623362e-07,0.704975715167238,0.468287399019311,1.9787549222805,157,"IGFBP2; ICAM1; AP2S1; ALDOA; PPT1; KLHDC3; MMP14; PRKACA; CLTB; GRINA; FEN1; HNRNPU; DDX21; CCNE1; BCL2L11; UROD; NPTX2; TFRC; RFC4; ATP6V1F; SQSTM1; SOD2; GGH; YKT6; BID; HSPA13; TARS1; FGF18; PSMC3; PPP1R2; STIP1; CDK2; GLS; ASNS; WIZ; DNAJA1; RHOB; HLA-F; AGO2; CREG1; JUNB; PDAP1; GPX3; PPIF; EPCAM; CLCN2; CDC34; PARP2; E2F5; CDKN2B; CEBPG; ALAS1; SIGMAR1; BAK1; MARK2; CDKN1C; H2AX; NUP58; PPAT; POLR2H; FOS; RPN1; DLG4; ARRB2; ATF3; COL2A1; PDLIM3; CA2; PRKCD; LHX2; HYAL2; HMOX1; IL6; CNP"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.51906780092237e-08,1.00632410996813e-07,0.73376198835648,0.451776756276376,1.96713680711984,199,"ATP5MG; CYCS; GPI; LDHB; ATP5MF; NDUFS6; LDHA; MRPS15; ATP5MC2; ATP6V0B; TIMM17A; COX6A1; TIMM10; MDH2; HSD17B10; NDUFV2; OPA1; ATP6V1F; ATP5ME; HSPA9; SLC25A5; FH; ATP5F1E; UQCRC1; MRPL34; MRPL11; TIMM8B; COX5A; IDH3B; NDUFB6; NDUFS8; COX5B; CYC1; COX7A2; PDHX; GPX4; COX8A; ATP6V1G1; MRPL15; ATP6AP1; ATP5MC3; NNT; IDH2; PHB2; NDUFS3; ATP5PD; ATP5F1B; MTX2; ATP6V1H; UQCRQ; TOMM70; ATP5F1C; MRPS22; VDAC2; ATP5PO; NDUFA7; ALAS1; TIMM50; MRPS12; NDUFB3; SDHB; PDHA1; MDH1; UQCRFS1; POR; COX6C; NDUFAB1; VDAC1; COX7B; OAT; ACAA2; TOMM22; COX6B1; DLST; NDUFV1; IDH1; HTRA2; TCIRG1; ATP1B1; CS; NDUFB4; SUPV3L1; NDUFB2; COX17; ACADM; DECR1; PHYH; PRDX3; NDUFA9; VDAC3; AFG3L2; SLC25A11; COX7A2L; SDHC; SLC25A12"
"HALLMARK_APOPTOSIS",1.30097600489098e-06,3.82640001438523e-06,0.643551836150722,0.446760163099716,1.89623409722445,161,"BGN; PEA15; TNFRSF12A; GPX1; SLC20A1; EMP1; TOP2A; GADD45A; PPP3R1; IGF2R; PPT1; CTNNB1; SMAD7; PTK2; DAP3; BCL2L11; MMP2; IER3; SQSTM1; BMF; SOD2; BID; MCL1; TIMP2; TNFSF10; TNF; JUN; GPX4; CDK2; LUM; DNAJA1; RHOB; CDC25B; WEE1; GPX3; PDCD4; BCL2L1; HMGB2; VDAC2; CDKN1B; IFITM3; BRCA1; APP; EBP; PAK1; LEF1; ANKH; CD69; ERBB3; IFNGR1; CASP8; CASP6; DFFA; BCL10; TIMP1; DDIT3"
"HALLMARK_DNA_REPAIR",2.31971644653313e-06,6.10451696456088e-06,0.627256739718528,0.45054200773893,1.88990540557506,148,"ZWINT; POLR2K; SEC61A1; ADRM1; NCBP2; PNP; NME1; FEN1; POLR2J; HCLS1; PCNA; NELFCD; ITPA; ALYREF; RFC4; CMPK2; TAF13; SF3A3; RBX1; POLR2G; ERCC2; SSRP1; ADA; GPX4; RALA; PRIM1; RNMT; CSTF3; TAF10; POLD4; POLR3C; GTF2A2; VPS37B; TYMS; VPS28; NME4; RFC5; SUPT4H1; GUK1; RFC2; ERCC3; POLB; POLD1; TARBP2; POLA2; NUDT21; SAC3D1; DGUOK; RFC3; NELFB; DDB1; ARL6IP1; BCAM; RPA3; RAE1; POLR2H; POLR1H; BCAP31; UMPS; DAD1; TMED2; COX17; SNAPC5; POLR2A; HPRT1; CANT1; AAAS; ERCC1; POLE4; GTF3C5; STX3"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",2.07688654657034e-05,4.32684697202153e-05,0.575610261071129,0.467482598071782,1.87239412108608,105,"ACTR3; CFL1; ACTR2; GRB2; CALR; STAT2; E2F1; YWHAB; AP2M1; TBK1; CDK1; PLCG1; MAP3K7; PPP1CA; SQSTM1; ARF1; PFN1; CLTC; SMAD2; PIKFYVE; CDK2; CSNK2B; ARPC3; RAF1; SLC2A1; CDKN1B; GRK2; AKT1; CXCR4; CAMK4; NCK1; MYD88; SLA; CDK4; DDIT3; PDK1; GSK3B; VAV3; RIPK1; ARHGDIA; PIN1; RPTOR; TRAF2; DUSP3; MAPK1; RPS6KA1; PRKCB"
"HALLMARK_APICAL_JUNCTION",3.54275873206127e-07,1.10711210376915e-06,0.674962860011025,0.429201137818562,1.86538079772065,196,"ITGB1; ADAM15; VCAN; THY1; MPZL1; ICAM1; VASP; CNN2; MSN; TGFBI; CERCAM; DLG1; ZYX; CAP1; INPPL1; PTK2; CLDN11; VCL; FSCN1; SHC1; CD276; CDH3; MDK; CDH11; PLCG1; GNAI2; MMP2; TUBG1; NLGN2; CLDN6; MYL12B; RHOF; MYH9; TIAL1; PFN1; NECTIN2; FYB1; NF1; ACTN1; MMP9; JUP; SRC; EVL; NEGR1; SIRPA; NECTIN1; PTPRC; MYH10; DHX16; SYMPK; MYL9; YWHAH; ACTG2; MAP4K2; RAC2; CDH6; ADAM9; LAYN; TNFRSF11B; VCAM1; CNTN1; CLDN4; ATP1A3; CDK8; ARPC2; PECAM1; FBN1; CLDN9; TRO; IKBKG; VAV2; PARD6G; NEXN; PBX2; CALB2; MAPK13; COL9A1; MAPK14; CD86; SDC3; EXOC4; STX4; ITGA3; ACTC1; ICAM2; INSIG1; RSU1; CLDN14; PIK3R3; B4GALT1; COL17A1; CLDN7"
"HALLMARK_HYPOXIA",1.84899460894984e-06,5.13609613597177e-06,0.643551836150722,0.416072184689518,1.81167113524718,199,"ENO1; BGN; PIM1; SERPINE1; CCN1; MT2A; GPI; FOSL2; TGFBI; VEGFA; PGK1; LDHA; EXT1; ALDOA; CCNG2; NDST1; IGFBP3; MT1E; PLAUR; IER3; VHL; ILVBL; NAGK; PGM1; MYH9; GPC1; SLC2A3; HOXB9; TMEM45A; KLF6; GPC4; TPI1; ETS1; JUN; TES; KLHL24; LOX; ACKR3; CCN2; NDRG1; SLC2A1; SIAH2; MIF; CDKN1B; SDC4; HDLBP; CXCR4; TPD52; COL5A1; PRKCA; PGM2; UGP2; STC2; KDM3A; CASP6; RBPJ; DDIT4; ANXA2; TNFAIP3; DDIT3; CP; PLIN2; CDKN1C; B3GALT6; PDK1; ERO1A; DTNA"
"HALLMARK_GLYCOLYSIS",9.88420869906227e-06,2.14874102153528e-05,0.593325476396405,0.406130463662322,1.76630080501006,198,"ENO1; STMN1; VCAN; B4GALT2; TGFBI; VEGFA; PGK1; LDHA; EXT1; GFUS; ALDOA; PKM; AURKA; GNPDA1; MDH2; AKR1A1; NASP; CDK1; PPIA; IGFBP3; CHPF2; IER3; SDC1; AGRN; GPC1; TPST1; GPC4; CENPA; TPI1; B3GNT3; G6PD; SLC16A3; COPB2; SLC25A13; CHPF; PLOD2; PLOD1; GUSB; PSMC4; HAX1; RBCK1; TALDO1; COG2; MIF; HDLBP; CXCR4; COL5A1; PGM2; LHPP; UGP2; MDH1; STC2; CASP6; DDIT4; ECD; DSC2; PGLS; SOX9; MED24; DEPDC1; B3GALT6; ERO1A; MERTK; IDH1; IL13RA1; HMMR; GOT1; GFPT1; GYS1; PYGL; CLN6; TPBG; NANP; CLDN3; KIF20A; B3GAT1; CLDN9; PAXIP1; SDHC; FKBP4; RARS1; PFKP"
"HALLMARK_INFLAMMATORY_RESPONSE",4.46509009307395e-06,1.11627252326849e-05,0.610526878385931,0.40237905706254,1.75305725513592,200,"SERPINE1; ICAM1; EIF2AK2; ADRM1; DCBLD2; BST2; MMP14; ITGA5; RGS16; IFITM1; PLAUR; INHBA; IRF7; NAMPT; MXD1; EBI3; ATP2C1; LY6E; KLF6; SLC7A1; KIF1B; RGS1; CXCL9; LAMP3; TNFSF10; GNAI3; ABI1; SLC11A2; CCL2; RAF1; CD40; PTPRE; AXL; MSR1; PDPN; ITGB8; P2RY2; GPR183; HAS2; SEMA4D; CXCL8; FPR1; OLR1; STAB1; NMI; CD69; TAPBP; LIF; OSMR; RNF144B; TIMP1; CXCL11; SPHK1; SLAMF1; PTAFR; RTP4; PVR; ACVR1B; HBEGF; TNFAIP6; IL4R; TNFRSF9; MARCO; CD14; CYBB; PIK3R5; TPBG; IL10RA; IL6; CCL20; CCR7; ATP2B1; RHOG; GCH1; EDN1; FZD5; ADM; LYN; CD48; SELL; PDE4B; PCDH7; SELE; RELA; ACVR2A; CSF3R; CHST2; CCL17; LDLR; NFKBIA; HPN; LCP2"
"HALLMARK_COMPLEMENT",5.8404406725959e-06,1.32737288013543e-05,0.610526878385931,0.399797903938096,1.74181186566546,200,"FN1; PIM1; SERPINE1; GRB2; CEBPB; SIRT6; CFH; BRPF3; MMP14; LGMN; SERPING1; DUSP5; USP15; S100A9; DYRK2; FCER1G; SERPINA1; GNAI2; PLAUR; IRF7; C1S; GZMB; COL4A2; USP14; ATOX1; CFB; SPOCK2; PPP4C; PFN1; TIMP2; CTSB; GNAI3; PIK3CA; C1QA; C1QC; GNB4; RAF1; CTSD; PLSCR1; KCNIP3; CSRP1; SRC; CXCL1; LAMP2; EHD1; LRP1; PREP; CTSL; OLR1; C1R; DUSP6; CTSC; C2; CALM3; ADAM9; TNFAIP3; TIMP1; KYNU; PLEK; CP; C3; PLA2G7"
"HALLMARK_ANGIOGENESIS",0.00312448610425917,0.00557943947189137,0.335068558717014,0.522029146942325,1.72573850278431,36,"VCAN; VEGFA; SPP1; COL5A2; TNFRSF21; COL3A1; PTK2; FSTL1; LUM; FGFR1; APP; OLR1; TIMP1"
"HALLMARK_PROTEIN_SECRETION",0.00163552457374579,0.00302874921064036,0.45505986738723,0.416863407985125,1.64572692006601,96,"GNAS; AP2S1; M6PR; IGF2R; PPT1; RAB2A; AP2M1; ADAM10; CLTA; DST; ARF1; YKT6; KIF1B; CLTC; COPB2; LAMP2; SEC22B; ATP6V1H; VPS45; COG2; AP3B1; MON2; VAMP3; TPD52; RER1; STX16; SEC24D; RAB22A; CTSC; ANP32E; SCAMP3; GLA; YIPF6; SNAP23; AP3S1; STAM; VAMP7; CD63; NAPA; SCRN1; TMED2; ARCN1; MAPK1; KRT18; COPB1; SEC31A"
"HALLMARK_KRAS_SIGNALING_UP",0.000586450466333032,0.00117290093266606,0.477270815362862,0.362648350379607,1.57905183956964,199,"EMP1; PLAU; WNT7A; EPHB2; SPP1; CFH; TRIB2; MMP11; TRIB1; DCBLD2; H2BC3; FCER1G; IGFBP3; RGS16; ADAM17; PLAUR; INHBA; F13A1; GPNMB; LAPTM5; CFB; BPGM; ETV4; ADAM8; MYCN; MMD; KIF5C; ZNF639; ETS1; RBM4; YRDC; PCSK1N; LCP1; MMP9; JUP; PSMB8; TMEM176A; ID2; TMEM176B; CXCR4; PDCD1LG2; ANKH; DUSP6; PTBP2; ETV5; ETV1; LIF; WDR33; ST6GAL1; TNFAIP3; SCG5; TMEM158; PCP4; PRRX1; SOX9; ERO1A; SNAP25; HBEGF; IKZF1; CBL; CA2; FGF9; MAFB; DOCK2; LY96; IL10RA; CD37; GFPT2; CCL20; PECAM1; ZNF277"
"HALLMARK_COAGULATION",0.00825488776249095,0.0133143351007919,0.191387828756382,0.353321130632914,1.46872636397367,138,"FN1; SERPINE1; PLAU; CFH; COMP; MMP11; SPARC; MMP14; ARF4; LGMN; SERPING1; HTRA1; SERPINA1; PEF1; MMP2; THBS1; C1S; CFB; CTSB; C1QA; MMP9; CSRP1; WDR1; LAMP2; KLK8; LRP1; MMP7; PREP; OLR1; C1R; DUSP6; C2; ADAM9; TIMP1; PLEK; C3"
"HALLMARK_IL2_STAT5_SIGNALING",0.00469613259668508,0.00809678033911221,0.248832632022043,0.336799293545879,1.46477281697225,198,"PIM1; EMP1; CTSZ; SYT11; SPP1; CKAP4; TNFRSF21; IGF2R; CAPG; PNP; BMPR2; LTB; ODC1; CCNE1; MAPKAPK2; UCK2; RGS16; PLEC; GLIPR2; CDC6; MXD1; ETV4; SLC2A3; KLF6; TWSG1; NCOA3; TNFSF10; ADAM19; PHLDA1; SPRED2; GPX4; ST3GAL4; RHOB; PLSCR1; NDRG1; IRF4; BCL2L1; SLC39A8; IFITM3; PUS1; MAP3K8; CDCP1; TNFRSF4; LIF; DCPS; NOP2; WLS; IFNGR1; DENND5A; CYFIP1; ITIH5; SOCS1; PLIN2; CDKN1C; NFKBIZ; SLC29A2"
"HALLMARK_UV_RESPONSE_DN",0.0230547550432277,0.0360230547550432,0.113318868985054,0.329456047804133,1.37568930683608,143,"RND3; COL1A1; ATRX; SERPINE1; CCN1; COL5A2; DLG1; LAMC1; RUNX1; FHL2; SMAD7; COL3A1; COL1A2; RASA2; MT1E; ATP2B4; COL11A1; ATP2C1; SLC7A1; ATRN; APBB2; FZD2; ABCC1; NEK7; GJA1; LTBP1; SCHIP1; CDKN1B; GCNT1; PDLIM5; HAS2; ID1; PRKCA; DYRK1A; ANXA2; PRKAR2B; MTA1; CAP2; DMAC2L"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.074963959634791,0.110241117109987,0.0651459743455219,0.383740311116803,1.3437360294817,48,"ATOX1; SOD2; ERCC2; G6PD; PRDX2; PRDX1; GPX4; ABCC1; PRDX6; JUNB; LAMTOR5; GPX3; PRDX4; SCAF4; SRXN1; PTPA"
"HALLMARK_ADIPOGENESIS",0.102900552486188,0.147000789265983,0.0508678015760926,0.276323630229875,1.20175828751457,198,"YWHAG; MTCH2; COL4A1; APOE; NABP1; SLC5A6; ATP1B3; AK2; GADD45A; ALDOA; CCNG2; COX6A1; MDH2; PPP1R15B; PREB; PGM1; APLP2; VEGFB; UQCRC1; DHCR7; CYC1; GPX4; COX8A; MCCC1; MRPL15; ATL2; NDUFS3; GPX3; LPCAT3; UQCRQ; CHUK; PDCD4; TALDO1; ATP5PO; PTCD3; SORBS1; SDHB; POR; SLC19A1; NDUFAB1; IFNGR1; COX7B; TKT; ACAA2; ITGA7; C3; ITIH5; PLIN2; MAP4K3; RIOK3; IDH1; RTN3; CHCHD10; CS; LIPE; UBQLN1; RAB34; SOWAHC; PHLDB1; ACADM; DECR1; PHYH; PRDX3; SDHC; ELMOD3; G3BP2; CD151; BCL6; CMPK1; ECHS1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.173872180451128,0.234962406015038,0.0408390204953239,0.315548470545391,1.1907274309516,73,"TNFRSF12A; SCD; FASN; CBS; CTNNB1; LGMN; S100A11; PLAUR; FADS2; DHCR7; GLDC; CXCL16; ATF5; FDPS; GUSB; PLSCR1; STX5; SQLE; EBP; FABP5; MAL2; MVK; ACAT2"
"HALLMARK_HEDGEHOG_SIGNALING",0.207038316066436,0.272418836929522,0.0380226568364937,0.359630848683236,1.18887768239927,36,"THY1; VEGFA; NRP2; MYH9; NF1; CDK6; PML; L1CAM"
"HALLMARK_P53_PATHWAY",0.1567081604426,0.217650222836945,0.0403698748306891,0.266212811716649,1.15719716576151,197,"CDKN2A; KRT17; IFI30; CSRNP2; LDHB; GADD45A; SEC61A1; IRAK1; S100A10; ABCC5; H1-2; PCNA; RGS16; IER3; SDC1; EPHA2; MXD1; TGFB1; TAX1BP3; DNTTIP2; PRMT2; ADA; RPS12; JUN; PLK2; PTPN14; TRIAP1; CTSD; VAMP8; RHBDF2; NDRG1; PTPRE; RAD51C; WRAP73; KLK8; CDKN2B; APP; GM2A; BAK1; LIF; ST14; DDIT4; DDIT3; HDAC3; SPHK1; SOCS1; OSGIN1; FOS; ACVR1B; HBEGF; SLC3A2; ATF3; DGKA; CTSF; DEF6; HMOX1; CDK5R1; NUDT15"
"HALLMARK_NOTCH_SIGNALING",0.249541895718807,0.319925507331804,0.0343768711554883,0.357817765876549,1.15163513769197,32,"FZD7; NOTCH3; APH1A; RBX1; CUL1; HES1; PRKCA; WNT5A; PSEN2"
"HALLMARK_APICAL_SURFACE",0.266255878060645,0.332819847575807,0.0325552018895575,0.327580682216128,1.12808684347689,44,"THY1; DCBLD2; ADAM10; EPHB4; PLAUR; NCOA6; MAL; BRCA1; APP"
