"MDS1","MDS2","LESIONS","ROI","BRCA"
-8.34668319491624,9.70321059361986,"Inv Cancer","Epithelial","BRCA1"
-10.1690540772827,10.0781952912606,"Inv Cancer","Epithelial","BRCA1"
-8.96939254615051,10.2928996420876,"Inv Cancer","Epithelial","BRCA1"
-16.8011484788384,8.92339575275586,"Cancer (Floating)","Epithelial","BRCA1"
-9.48543548181106,3.14914593167958,"STIC.C","Epithelial","BRCA1"
0.914408740405722,6.78411159464404,"STIC.C","Epithelial","BRCA1"
-7.68543969203841,4.98745243056727,"STIC.C","Epithelial","BRCA1"
-4.84588534310978,-6.41486339766022,"p53 Signature.C","Epithelial","BRCA1"
5.68485611309855,16.3716864454603,"Inv Cancer","Stroma","WT"
-8.83712456606194,16.3464459089449,"Inv Cancer","Epithelial","WT"
8.82542281544783,14.632418843963,"Inv Cancer","Stroma","WT"
-3.84413613150331,16.1530605153081,"Inv Cancer","Epithelial","WT"
7.1649960337568,11.7793625031799,"Inv Cancer","Stroma","WT"
-10.1873419342106,15.2014662949865,"Inv Cancer","Epithelial","WT"
10.1933396664329,14.530032982389,"Inv Cancer","Stroma","WT"
-4.6209573850395,15.4369460640603,"Inv Cancer","Epithelial","WT"
5.07728542732864,14.7040797434332,"Inv Cancer","Stroma","WT"
-6.80091293915229,15.0573108154316,"Inv Cancer","Epithelial","WT"
8.67650551375445,15.78167990797,"Inv Cancer","Stroma","WT"
-6.47970538621378,15.6576760191794,"Inv Cancer","Epithelial","WT"
8.17428788730805,13.0957350745877,"Inv Cancer","Stroma","WT"
1.26595303561697,15.8619274800447,"Inv Cancer","Epithelial","WT"
9.79833472230211,4.49646609211104,"Fimbriae.C","Epithelial","WT"
10.1611873667728,10.7931892929966,"Inv Cancer","Stroma","WT"
6.96866216735233,15.9085755404105,"Inv Cancer","Epithelial","WT"
12.0838290111936,8.56378351160008,"Fimbriae.C","Epithelial","WT"
11.488263947314,13.5648288547206,"Inv Cancer","Stroma","WT"
-0.26297745588791,14.5121355700474,"Inv Cancer","Epithelial","WT"
-6.63435188938664,12.6623386886378,"STIC.C","Epithelial","WT"
-4.19941845899565,12.9533318336134,"STIC.C","Epithelial","WT"
-0.661854022296731,14.8932218082666,"STIC.C","Epithelial","WT"
-6.7805330015002,14.4477664727131,"STIC.C","Epithelial","WT"
-5.53723671813706,13.5412095043497,"STIC.C","Epithelial","WT"
-4.08772446306006,13.3425220554366,"STIC.C","Epithelial","WT"
-0.684460565870309,16.0756881149247,"Inv Cancer","Epithelial","WT"
0.199036150872523,15.8909089201447,"Inv Cancer","Epithelial","WT"
-5.41411984673834,15.8253567021799,"Inv Cancer","Epithelial","WT"
-4.73345534414316,13.8407667350751,"Cancer (Floating)","Epithelial","WT"
5.23511593194292,8.12783779285226,"FT.C","Epithelial","WT"
-2.73734578478494,15.071010333484,"Inv Cancer","Epithelial","WT"
10.0947760940828,11.0518964180131,"Inv Cancer","Stroma","WT"
-3.53153815629488,16.5268201201892,"Inv Cancer","Epithelial","WT"
2.22471289951994,16.0083457855127,"Inv Cancer","Epithelial","WT"
-0.910078729861256,16.1003650638754,"Inv Cancer","Epithelial","WT"
2.47037293603741,17.1593269093251,"Inv Cancer","Epithelial","WT"
7.0751503607744,8.0999449707184,"p53 Signature.C","Epithelial","WT"
1.08523349572753,7.75044087883011,"STIC.C","Epithelial","WT"
0.9382215765405,8.16856403297055,"STIC.C","Epithelial","WT"
-0.338478323952901,6.82961964044484,"STIC.C","Epithelial","WT"
-6.24133008785322,17.1367817291398,"Inv Cancer","Epithelial","WT"
-7.54239309676675,16.3951688439596,"Inv Cancer","Epithelial","WT"
-6.10575605753511,16.0270869279325,"Inv Cancer","Epithelial","WT"
4.62943199244194,5.76514394299586,"FT.C","Epithelial","WT"
1.36111059759033,14.0270626186303,"Inv Cancer","Epithelial","WT"
14.6967089436688,9.58349397222535,"Inv Cancer","Stroma","WT"
0.152584759602083,16.4385132219948,"Inv Cancer","Epithelial","WT"
1.08556626745249,14.8946157431881,"Inv Cancer","Epithelial","WT"
10.6499338097509,10.4056585826128,"Inv Cancer","Stroma","WT"
7.3906175690512,10.5911029045503,"Inv Cancer","Stroma","WT"
-10.4347446088129,14.9770693121409,"Inv Cancer","Epithelial","WT"
-9.94354021174702,15.6315937907689,"Inv Cancer","Epithelial","WT"
17.6532295365946,9.64966861265819,"Inv Cancer","Stroma","WT"
16.4484894011497,11.0881937618186,"Inv Cancer","Stroma","WT"
19.1673919015616,10.3054335124604,"Inv Cancer","Stroma","WT"
-9.65395686369946,16.6240616658805,"Inv Cancer","Epithelial","WT"
