"SAMPLE_ID","UMAP1","UMAP2","LESIONS_TYPES","ROI_TYPES"
"LSP15336_Scan1-015-PanCK+",-0.338039974371592,1.57363024850686,"p53 Signature.C","Epithelial"
"LSP15336_Scan1-016-PanCK+",-0.211872677008311,1.39471141000589,"p53 Signature.C","Epithelial"
"LSP15340_Scan1-001-PanCK-",-0.815639118353526,1.62063041826089,"STIC.C","Stroma"
"LSP15340_Scan1-001-PanCK+",2.69075431426366,2.00361028810342,"STIC.C","Epithelial"
"LSP15340_Scan1-002-PanCK-",-0.980023960272471,1.48942581315835,"STIC.C","Stroma"
"LSP15340_Scan1-002-PanCK+",2.67623462279638,2.02922764917215,"STIC.C","Epithelial"
"LSP15340_Scan1-003-PanCK-",-0.848942379156749,1.60783949991067,"STIC.C","Stroma"
"LSP15340_Scan1-003-PanCK+",2.69451417525609,2.00412837167581,"STIC.C","Epithelial"
"LSP15340_Scan1-004-Full-ROI",2.9664582212766,1.77335086961587,"Inv Cancer","Epithelial"
"LSP15340_Scan1-005-PanCK+",3.02682771285375,1.71311489244302,"Inv Cancer","Epithelial"
"LSP15340_Scan1-006-PanCK+",2.90626372893651,1.83073679109414,"Inv Cancer","Epithelial"
"LSP15340_Scan1-007-Full-ROI",3.22913112243017,1.66662326951822,"Inv Cancer","Epithelial"
"LSP15340_Scan1-008-Full-ROI",3.27033080657323,1.63845220704873,"Inv Cancer","Epithelial"
"LSP15340_Scan1-009-Full-ROI",3.24458160003026,1.63433495660623,"Inv Cancer","Epithelial"
"LSP15340_Scan1-010-PanCK-",1.39963569243749,1.79305497308572,"Inv Cancer","Stroma"
"LSP15340_Scan1-010-PanCK+",2.98057832320531,1.67164245744546,"Inv Cancer","Epithelial"
"LSP15340_Scan1-011-Full-ROI",3.07164134581884,1.79552832742532,"Inv Cancer","Epithelial"
"LSP15340_Scan1-012-Full-ROI",3.03115167220434,1.71792069574197,"Inv Cancer","Epithelial"
"LSP15340_Scan1-013-PanCK+",3.04982413848241,1.61543122430642,"STIC.C","Epithelial"
"LSP15340_Scan1-014-PanCK+",2.93152608474096,1.76214138170083,"STIC.C","Epithelial"
"LSP15340_Scan1-015-PanCK+",2.832806011041,1.83740821977456,"STIC.C","Epithelial"
"LSP15340_Scan1-016-PanCK+",2.94051589568456,1.72997752328714,"STIC.C","Epithelial"
"LSP15340_Scan1-017-PanCK+",-0.188679317633311,1.62708822389444,"FT.C","Epithelial"
"LSP15340_Scan1-021-Full-ROI",1.52571096022924,1.92176762719949,"Inv Cancer","Epithelial"
"LSP15340_Scan1-022-Full-ROI",1.5271796186765,1.90221730371316,"Inv Cancer","Epithelial"
"LSP15344_Scan1-001-Full-ROI",1.0511921842893,3.00039950509866,"Inv Cancer","Epithelial"
"LSP15344_Scan1-002-Full-ROI",1.0115341146787,2.94745436807473,"Inv Cancer","Epithelial"
"LSP15344_Scan1-003-Full-ROI",1.19777383406957,2.84101692338785,"Inv Cancer","Epithelial"
"LSP15344_Scan1-004-Full-ROI",1.34348430236181,3.24329510827859,"Inv Cancer","Epithelial"
"LSP15344_Scan1-005-Full-ROI",1.30198373397191,3.27339974542459,"Inv Cancer","Epithelial"
"LSP15344_Scan1-006-Full-ROI",1.35095777114232,3.25413910051187,"Inv Cancer","Epithelial"
"LSP15344_Scan1-007-Full-ROI",1.40534677108129,3.28984442849954,"Cancer (Floating)","Epithelial"
"LSP15344_Scan1-008-PanCK+",1.38594331343969,3.34634581704934,"STIC.C","Epithelial"
"LSP15344_Scan1-009-PanCK+",-0.89638481537501,1.99624696870645,"STIC.C","Epithelial"
"LSP15344_Scan1-010-PanCK+",1.30134334166845,3.29690018792947,"STIC.C","Epithelial"
"LSP15344_Scan1-015-PanCK+",-0.00818405548731516,-4.22628935674826,"p53 Signature.C","Epithelial"
"LSP15348_Scan1-001-PanCK-",-0.920087436834971,2.52187148233255,"Inv Cancer","Stroma"
"LSP15348_Scan1-001-PanCK+",0.0266865690549212,3.45042983194192,"Inv Cancer","Epithelial"
"LSP15348_Scan1-002-PanCK-",-1.19328365723292,2.30499378343423,"Inv Cancer","Stroma"
"LSP15348_Scan1-002-PanCK+",-0.0742813150087995,3.24086562295755,"Inv Cancer","Epithelial"
"LSP15348_Scan1-003-PanCK-",-1.14389477173487,2.29458252092202,"Inv Cancer","Stroma"
"LSP15348_Scan1-003-PanCK+",0.0774454077084856,3.50576082368692,"Inv Cancer","Epithelial"
"LSP15348_Scan1-004-PanCK-",-1.14331303040187,2.31104723115762,"Inv Cancer","Stroma"
"LSP15348_Scan1-004-PanCK+",0.0173911054929095,3.4137655844291,"Inv Cancer","Epithelial"
"LSP15348_Scan1-005-PanCK-",-0.940339664618175,2.4450487246116,"Inv Cancer","Stroma"
"LSP15348_Scan1-005-PanCK+",-0.00354442993799875,3.36695018907388,"Inv Cancer","Epithelial"
"LSP15348_Scan1-006-PanCK-",-1.07676468292872,2.39458337922891,"Inv Cancer","Stroma"
"LSP15348_Scan1-006-PanCK+",0.00146903594334891,3.4006892790397,"Inv Cancer","Epithelial"
"LSP15348_Scan1-007-PanCK-",-0.405887226263682,2.9818123926719,"Inv Cancer","Stroma"
"LSP15348_Scan1-007-PanCK+",-0.246621708075206,3.16310778756936,"Inv Cancer","Epithelial"
"LSP15348_Scan1-008-Full-ROI",-0.951162914435069,1.58914033075174,"Fimbriae.C","Epithelial"
"LSP15348_Scan1-009-PanCK-",-0.797864536444346,2.59015766282876,"Inv Cancer","Stroma"
"LSP15348_Scan1-009-PanCK+",-0.490975956122081,2.88310590883096,"Inv Cancer","Epithelial"
"LSP15348_Scan1-010-Full-ROI",-0.85518894592921,1.22091570993264,"Fimbriae.C","Epithelial"
"LSP15348_Scan1-011-PanCK-",-1.16855392853419,2.15180841585,"Inv Cancer","Stroma"
"LSP15348_Scan1-011-PanCK+",-0.0929676095644636,3.13919225831826,"Inv Cancer","Epithelial"
"LSP15356_Scan1-001-PanCK+",1.68050708373388,2.50364271303018,"STIC.C","Epithelial"
"LSP15356_Scan1-002-PanCK+",1.48683633406957,2.39534989496072,"STIC.C","Epithelial"
"LSP15356_Scan1-003-PanCK+",1.18641652663549,1.98944417138894,"STIC.C","Epithelial"
"LSP15356_Scan1-004-Full-ROI",2.02129115660985,2.2708212484916,"STIC.C","Epithelial"
"LSP15356_Scan1-005-PanCK+",2.00268830855687,2.24105588098367,"STIC.C","Epithelial"
"LSP15356_Scan1-006-Full-ROI",1.90898313124975,2.23676291604837,"STIC.C","Epithelial"
"LSP15356_Scan1-007-Full-ROI",1.38725747664769,2.24600282808145,"Inv Cancer","Epithelial"
"LSP15356_Scan1-008-Full-ROI",1.50998153289159,2.14559165139993,"Inv Cancer","Epithelial"
"LSP15356_Scan1-009-Full-ROI",1.60148944457372,2.24392572542032,"Inv Cancer","Epithelial"
"LSP15356_Scan1-010-Full-ROI",1.60858382781347,2.39159599443277,"Cancer (Floating)","Epithelial"
"LSP15356_Scan1-011-PanCK+",-0.448034862677257,1.66324487825235,"FT.C","Epithelial"
"LSP15360_Scan1-001-Full-ROI",2.82597865660985,5.20969528456529,"Inv Cancer","Epithelial"
"LSP15360_Scan1-002-Full-ROI",-1.16791210571925,1.65669146676858,"Inv Cancer","Stroma"
"LSP15360_Scan1-003-Full-ROI",2.59033240874608,5.15139896174272,"Inv Cancer","Epithelial"
"LSP15360_Scan1-004-Full-ROI",2.79374637206395,4.9892823745807,"Inv Cancer","Epithelial"
"LSP15360_Scan1-005-Full-ROI",2.70453967650731,5.07600889106592,"Inv Cancer","Epithelial"
"LSP15360_Scan1-006-Full-ROI",2.76189508040746,5.2311248232921,"Inv Cancer","Epithelial"
"LSP15360_Scan1-007-Full-ROI",-0.32822189728419,1.81566921373208,"p53 Signature.C","Epithelial"
"LSP15360_Scan1-008-Full-ROI",0.328143497308095,2.25505272050699,"STIC.C","Epithelial"
"LSP15360_Scan1-009-Full-ROI",0.343809982140859,2.18877950807412,"STIC.C","Epithelial"
"LSP15360_Scan1-010-Full-ROI",0.479881187280019,2.36695543428262,"STIC.C","Epithelial"
"LSP15360_Scan1-011-Full-ROI",2.5481928785642,5.16627219816049,"Inv Cancer","Epithelial"
"LSP15360_Scan1-012-Full-ROI",2.59792174895604,5.19622505207856,"Inv Cancer","Epithelial"
"LSP15360_Scan1-013-Full-ROI",2.58410968383153,5.13784951468309,"Inv Cancer","Epithelial"
"LSP15360_Scan1-014-Full-ROI",-0.352799991766612,1.5644494642814,"FT.C","Epithelial"
"LSP15360_Scan1-015-Full-ROI",2.8783816297849,5.18803555270036,"Inv Cancer","Epithelial"
"LSP15360_Scan1-016-Full-ROI",-1.7659259835879,1.10178509851297,"Inv Cancer","Stroma"
"LSP15360_Scan1-017-Full-ROI",2.7335742910703,5.16073328753312,"Inv Cancer","Epithelial"
"LSP15360_Scan1-018-Full-ROI",2.82916917403539,5.2057447185119,"Inv Cancer","Epithelial"
"LSP15360_Scan1-019-Full-ROI",-1.47098884979884,1.21384564538797,"Inv Cancer","Stroma"
"LSP15360_Scan1-020-Full-ROI",-1.11207542816798,1.37902394433816,"Inv Cancer","Stroma"
"LSP15360_Scan1-021-Full-ROI",2.62354030211767,5.22371566792329,"Inv Cancer","Epithelial"
"LSP15360_Scan1-022-Full-ROI",2.61308087905248,5.19006586571534,"Inv Cancer","Epithelial"
"LSP15360_Scan1-024-Full-ROI",-1.77566585938136,1.48208180566629,"Inv Cancer","Stroma"
"LSP15360_Scan1-025-Full-ROI",-1.63971863190333,1.49792472024759,"Inv Cancer","Stroma"
"LSP15360_Scan1-026-Full-ROI",-1.81041298309962,1.42180815835794,"Inv Cancer","Stroma"
