,668.0,668.0,667.0,667.0,669.0,669.0,2853.0,2853.0,2854.0,2854.0,2852.0,2852.0,703.0,703.0,704.0,704.0,702.0,702.0,2941.0,2941.0,2942.0,2942.0,2940.0,2940.0,2926.0,2926.0,2927.0,2927.0,2925.0,2925.0,2874.0,2874.0,2875.0,2875.0,2873.0,2873.0,2914.0,2914.0,2913.0,2913.0,2915.0,2915.0,2929.0,2929.0,2928.0,2928.0,2930.0,2930.0,2939.0,2939.0,2938.0,2938.0,2961.0,2961.0,2960.0,2960.0,2962.0,2962.0
,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis,skew,kurtosis
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloroform,-2.9470357709531494,10.683836997781409,-3.122406240635618,11.575896965865676,-2.6848170581239237,9.356958388557551,-1.1472469789145527,6.6047943469000945,-0.5776914239064767,7.531912236815657,-1.2268206295465443,6.544361583258755,-1.93031280620991,3.1059229212149733,-1.9464832583203093,3.163057258447018,-1.8887757120792683,2.9156268787272346,1.2397278573190684,3.2481288156232075,0.24909755766727706,3.163207960360392,1.6191858609818393,4.309152661474271,1.2977703787954373,2.7282373432936,1.4408107947409456,3.6083876128142984,1.1768046776365069,2.718963372417746,1.5300579167597617,8.504809792610855,2.06627651388016,8.457462835573715,0.92042280206637,7.692989479696161,-1.5834450919337701,8.743273814981702,-0.6746790599019152,7.92217034500038,-1.76152475164994,8.603865004511393,2.1618369754175157,10.14252141337416,1.8091420125899942,5.978673530832879,2.5396857860113298,15.115898450661785,1.7670406489568502,5.361300596928867,1.4187401831307005,5.261344897552455,-0.8907394493996023,2.405167898922042,-0.8052158141635966,2.4465984316527356,-0.9737333586961439,4.668592053405557
Cyclohexane,0.06925990614169258,-1.2774162530901982,0.08752015459242958,-1.3213860233430725,0.034973509467395796,-1.2065216095744946,-0.3325440697812607,-1.5077240098232207,-0.33566674767935134,-1.5019509086708593,-0.3286029588997481,-1.5144443798527438,0.22561949887595564,-0.6743403189376891,0.19865923108940187,-0.6669579477363374,0.2567865459187475,-0.6467475735240305,-0.3397697466953397,-1.5100646936374185,-0.35388903821113743,-1.4983133319241684,-0.3303812783342767,-1.5211787285509466,-0.32113336484500693,-1.5231364909372322,-0.3173901783096666,-1.5279558950395833,-0.33005952036602876,-1.507100211935056,0.3276803698398922,-0.3185465362059454,0.3132014258071919,-0.28010152045771175,0.3695024579402851,-0.275901728106978,-0.14225461022288616,-0.891127704570196,0.23029943759767413,0.6843936385316627,-0.26233970877715823,-1.25275117664462,-0.31546832937925484,-1.4986592439225734,-0.3169440499991123,-1.5191962860939279,-0.3076232116254437,-1.478899376898411,-0.3280782199186975,-1.524425357340742,-0.32847693946205364,-1.5222458174166618,7.4660048458025,66.51985141411758,7.789570291932712,70.850963953907,6.660744032452296,56.42911916307838
Dichloromethane,-0.4208884809929279,-1.2374588766304324,-0.43585054712060706,-1.1767051717507122,-0.396796947580329,-1.2831585314968554,-0.6603817334727957,3.252008348199549,-0.07352892982803917,3.2472710495088997,-0.8288261121462126,2.4620457125306263,-0.8488956683258857,-1.0398895032422377,-0.8495364485204414,-1.039249834683138,-0.8476514689527185,-1.0419202279140505,1.9933895897809657,4.170015658192042,1.698991623683803,2.4138735766072443,1.5653005828899884,3.5759955443139937,1.6592499672839274,3.9689828506886657,1.588054943169012,3.4135886442000443,1.7012753533154064,4.023977775597377,1.3773597453451238,3.8766038332676533,0.8882288543853398,3.2861413219307005,1.673558814905994,3.7597536440114716,1.4135715913866864,2.103121954921078,1.1166285313096656,2.2987024762846806,1.6635393808871652,2.765948312408119,1.5252273075551936,2.071224310375073,1.5431052905900713,2.6384363055240865,1.5103914471789133,2.056294571990965,0.08846220535336737,2.1496991028327193,-0.7031480446121738,2.296681587994035,1.322442881204187,1.8409097189127062,1.4793599886785584,1.4468289966698062,0.9716405969651755,2.9114603266867265
Diethyl Malonate,6.179048169827324,50.03969229706854,6.348647774452722,53.43946878844244,5.608711511588261,43.02055752283262,-3.0937114565688604,11.957550875406673,-2.9439651637783153,10.357758740913436,-3.6932215000419863,15.771680515332982,-5.224373583715601,36.2390576238568,-4.9081667676398455,32.99146163130269,-5.39837564445342,37.931385323134016,-2.3497865908686433,13.792031504688175,-1.6147378172981142,9.071216889148921,-2.484876826165028,13.927583709155776,-1.1167428191515623,1.4016961965595671,-0.9605887436860658,1.2367739247132734,-2.606208600889432,11.710180651295127,0.8953889077561157,8.396500732437545,0.8787873140875122,9.944678746997354,0.6656636587803638,6.903851992039858,-2.4120208181069036,13.94639739460855,-2.0153611297804885,11.537273700428178,-3.0825359099661296,18.55935046065343,-0.5366256332415407,8.704052075927944,-0.823393463470562,3.8712360245826503,-0.3789949190338214,8.789585788735316,-2.124382953455726,10.718965386902834,-1.3712417415714868,6.043421017224059,-2.1616983118343738,9.914657204073597,-1.9013853848421216,8.87574836178452,-2.188031705647888,10.284719955845107
Diethylamine,-2.4645282351273576,6.7773941136261335,-2.483548776852566,6.719108413265234,-2.472521148668417,7.176398431877521,-1.5759545459415445,5.169660579004276,-1.053813399899899,2.8953275259718865,-1.510216404251281,4.288755208151912,-1.4261644145497392,4.46030953810967,-1.1326542386029217,2.9916865455396726,-1.6553511059608843,5.731469472470932,1.3735227435046269,6.946411102048952,1.2812503931533656,7.541166684082624,1.125351762359214,4.5069436537448535,-0.22800535184464626,0.6568241583489534,-0.12331017214589479,0.33338044724742266,-0.6508511884682455,1.8211058955505095,-0.8920777671801817,1.5197415597960742,-1.0025912086622846,2.0634087936560332,-0.722220083679895,0.6469207516501649,-0.1023544682738736,-0.24225525972730955,-0.013069823625959395,-0.06719854727022989,-0.22635480706583203,-0.3950580957343406,-0.06772407852724953,-0.5706102527378989,-0.12023958735175934,-0.27492402961416706,-0.024783797036451307,-0.4062758669426856,0.7208027266349217,1.6928906199953433,0.3352089689966165,-0.08772664601923275,-0.30409663168584566,0.09290185509632831,-0.4941872045188573,0.15907818242836802,-0.0971694394336979,1.6114698833074996
Diethylene Glycol,-0.6784310504994179,5.690319126131499,-0.9837447711318142,7.156322555981397,-0.6108039143441868,4.823615768704493,-1.9249192908367903,7.204408757753885,-1.7340251341351673,6.146212521782539,-1.3447786527699033,6.327841586969022,-2.1005662435099093,9.768599730756915,-1.7953188452839317,6.150969717619137,-2.72151527266281,15.53428244700524,0.09033336108197441,0.2783592818723939,0.10259112446699863,0.39104806451571505,-0.02545925249619929,0.3773212525581595,-0.5229311872066202,1.7486202151687333,-0.5124398159770673,1.3764416798385763,-0.4958529119685598,1.6306338191125649,-0.7790143988513664,2.105328891552273,-0.6546244609946231,1.722253795931751,-0.9450090614555491,2.5130773881195188,0.20402212707442058,0.6854307017016588,0.3795731790075773,0.4099181851577973,0.021253238613839785,0.9976077905670242,-0.8825885331679627,1.7680339484393643,-0.6767827495902428,1.2332487503472223,-0.8129898587115987,1.7368111558521537,-0.20586726968774294,0.713839577834765,-0.29395799414979074,1.168381151328207,0.6320619596568486,0.7089801375813112,0.71262921606169,0.9805070657690087,0.42566246038462174,0.2451760107805705
Dimethyl Sulfoxide,-1.2285585873857268,-0.013793637035468542,-1.226703330848247,-0.022423894071674333,-1.229434996131153,-0.00793115346816231,1.3902418709122386,1.858145944813951,1.3422336885784176,1.7327799482438087,1.6314157257343607,2.043879696987654,-1.152934562860894,-0.24375911987238608,-1.1347859908919258,-0.29227194728272465,-1.1662954132656502,-0.20777337005410335,-0.5015526433554697,2.0653871819603244,0.08578675138037631,3.354663638001515,-0.4765813258087045,2.814491647902239,-0.6846571673294986,0.9008735800180125,-0.631599065543849,2.4027451697901627,-0.749448299055563,0.30230979335977404,-0.787233231625488,0.9891329647239653,-0.5710918900732229,1.9946264221730745,-1.0391481826838391,0.1169177959500769,-1.1225602934475472,-0.304131674457659,-1.1258438505861095,-0.3003056839534164,-1.1184727306645985,-0.3073099988767214,-0.30578040868390205,6.786390538248536,-0.5378797284959462,5.100306637971624,0.10620662776385377,5.082667854086182,-0.20076292118945832,2.710039545345122,-0.07728305248534938,2.97331060037632,-0.19379207134744894,2.6805090467442714,-0.7862696234357056,2.197794467148568,0.7639594480943919,3.1399350168845395
