,count,mean,std,min,25%,50%,75%,max,var
150.0,1225.0,-0.05006038270880713,0.27252510734704033,-0.7339853685474378,-0.20467270680148916,-0.01672691854111178,0.16813047581851734,0.5709497909521031,0.07426993413451587
151.0,1225.0,-0.053716150773921514,0.25256085038168863,-0.6849323655492429,-0.2029895175141137,-0.021863301488178274,0.14503599240955484,0.5195300063352105,0.0637869831455217
152.0,1225.0,-0.05836443123190373,0.2335998891295007,-0.6329639160093793,-0.198312647028234,-0.025355131084540974,0.12066949037315207,0.46907385560385506,0.05456890820131501
153.0,1225.0,-0.06400492704939874,0.2153425039827284,-0.5780756448308748,-0.19120115221843106,-0.03393731056041682,0.09673770582346872,0.43217977655417017,0.0463723940215514
154.0,1225.0,-0.07063725341198107,0.19762929081042643,-0.5327787527129898,-0.1912169450446325,-0.04648327755269846,0.07269805177659451,0.39771126336554646,0.0390573365862321
155.0,1225.0,-0.07826098146706081,0.1805186407303419,-0.4961451477009095,-0.19964314479337522,-0.05940391804525279,0.050217628727302656,0.3596712341061788,0.032586979651130256
156.0,1225.0,-0.0877455199432438,0.16435235428851216,-0.4611391098750382,-0.21179232534511833,-0.07440645076308301,0.031668730557995434,0.342692208866278,0.027011696360176623
157.0,1225.0,-0.09856441529362038,0.1505998253681375,-0.42574634937424394,-0.21988760124798776,-0.09181655749185248,0.011234250413208934,0.32536175659999805,0.022680307400913518
158.0,1225.0,-0.10913945394247915,0.14026937023818684,-0.4563178211233204,-0.22774209989106078,-0.11656115652113529,-0.01031896879878404,0.3072854673171546,0.019675496227017537
159.0,1225.0,-0.11789612746133434,0.133726126877327,-0.4812496801134468,-0.2330537891729114,-0.13148814182021454,-0.029007493537042215,0.289020320396291,0.017882677009610957
160.0,1225.0,-0.12398109060644351,0.13089934080791474,-0.498494256330249,-0.24079195441678192,-0.10900405091337773,-0.04391951727562007,0.271216226791426,0.017134637423946615
161.0,1225.0,-0.12753321041979493,0.1319845577965319,-0.5090341139297989,-0.25043207512228305,-0.10749170117806042,-0.024482707965888806,0.2542189492789996,0.017419923496746068
162.0,1225.0,-0.12942560695780359,0.13755564706253526,-0.515799216743464,-0.25491411784485307,-0.10923199724280655,-0.01630971349482472,0.237785299124201,0.018921556038792763
163.0,1225.0,-0.13068283042730297,0.14794444387516895,-0.5215823114928364,-0.2592745225570169,-0.12352385369093188,-0.025003837376127675,0.22110008865138267,0.021887558473533016
164.0,1225.0,-0.13192071964453259,0.16272223284105594,-0.5272230524894728,-0.269458541130471,-0.1350944035270458,-0.03773782984108913,0.2915615590154691,0.02647852506077883
165.0,1225.0,-0.13310364052920234,0.1807791502572002,-0.5311446849405901,-0.2803306499506978,-0.14870363746881593,-0.048698864237755796,0.38093627572188676,0.032681101167715366
166.0,1225.0,-0.13371289338541192,0.20078540040131196,-0.5305110075023349,-0.28821275494482834,-0.16213443528707755,-0.05697050177214274,0.46896624228534317,0.04031477701431516
167.0,1225.0,-0.13318321436630523,0.22168213373636542,-0.5233490741400415,-0.29077937413270305,-0.17478217439727944,-0.0675123148866342,0.555549389374121,0.0491429684179078
168.0,1225.0,-0.13132725545664695,0.2429660857138173,-0.5103481078677884,-0.289736455373983,-0.18639490644826795,-0.078506585698814,0.6407203149182544,0.059032518807094016
169.0,1225.0,-0.12850404206764207,0.26464497261717596,-0.4952351565469516,-0.28745407845403137,-0.1972840293414869,-0.08674521732958243,0.7244038770158467,0.07003696153154582
170.0,1225.0,-0.12546038815065644,0.2869541951040666,-0.4834277892917112,-0.289860774660872,-0.2079418336516036,-0.0928008517814092,0.8100659874863263,0.08234271008782273
171.0,1225.0,-0.12296615726804169,0.31007928923781075,-0.47967355595387073,-0.2916549331824406,-0.21704800959221943,-0.09986151181235953,0.902000697747234,0.09614916561422591
172.0,1225.0,-0.12145796489178422,0.3340356533464091,-0.4858970311529236,-0.2959842131166387,-0.22608552014606936,-0.10612204854157205,0.9940587238758797,0.11157981770656239
173.0,1225.0,-0.12087373624062558,0.3586722455609752,-0.5003726551447396,-0.3056791388370235,-0.23325577703094907,-0.11339932857177863,1.0830101488241208,0.1286457797357525
