"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significancia"
"CFAP69",-1.06508784722221,0.0786848214285714,-10.1190653270363,1.17250364023945e-22,4.17916994060155e-21,40.6269154182941,"Down-regulado"
"COL9A2",1.03964809027777,-0.101667261904762,10.1142156856208,1.22477874877399e-22,4.35717956016224e-21,40.5839682905266,"Up-regulado"
"SPATA6",-1.05039843749999,0.0920110119047618,-10.1077001498294,1.29866669868339e-22,4.61125435956459e-21,40.5262930697876,"Down-regulado"
"PCCA",-1.01875815972221,0.139789880952381,-10.1056493427999,1.32282565168192e-22,4.68812423082795e-21,40.5081452645647,"Down-regulado"
"AUP1",1.01865138888888,-0.0352580357142857,10.1051037803873,1.32932721328725e-22,4.70224325048599e-21,40.5033179971645,"Up-regulado"
"SLC38A1",1.00786684027777,-0.133277380952381,10.1016331995769,1.37143522857413e-22,4.84202188356881e-21,40.472614101782,"Up-regulado"
"KCNK4",1.06098246527777,-0.207108333333333,10.0989866729722,1.40443174939702e-22,4.94916448745059e-21,40.4492059228578,"Up-regulado"
"EFCAB12",-1.05994045138888,0.0896476190476191,-10.0962388722075,1.4395241867964e-22,5.06327556248519e-21,40.424906921659,"Down-regulado"
"CFAP77",-1.05421041666666,0.116830952380952,-10.0906371656017,1.5137800857991e-22,5.31444937264469e-21,40.3753861987846,"Down-regulado"
"FASN",1.04543663194443,-0.0174812499999996,10.0881660700388,1.54773265050779e-22,5.42345266670431e-21,40.353547636681,"Up-regulado"
"DCDC2B",-1.05884288194443,0.0811440476190478,-10.0702160821332,1.81810226801297e-22,6.3589318463817e-21,40.1950349437678,"Down-regulado"
"POU5F1",-1.07002395833332,0.0666464285714285,-10.0634401451018,1.9319202150214e-22,6.74438763662703e-21,40.1352539050338,"Down-regulado"
"CHCHD2",1.05424114583332,-0.0410880952380953,10.0516593723188,2.14687432035797e-22,7.48081561218764e-21,40.031390443686,"Up-regulado"
"ZYX",1.02770520833332,-0.0373017857142858,10.0508556757468,2.16237433122343e-22,7.52079429874487e-21,40.0243081488124,"Up-regulado"
"PLEKHO1",1.04168628472221,-0.0517791666666668,10.0492591767627,2.19349418750003e-22,7.61484961708884e-21,40.0102408405161,"Up-regulado"
"PKP2",-1.05016145833332,0.00742351190476219,-10.048337275349,2.21166627255231e-22,7.66369034739508e-21,40.0021184221373,"Down-regulado"
"RUNX1",1.03009166666666,0.0220761904761904,10.0438289338893,2.30270554663004e-22,7.96437620266836e-21,39.9624058334382,"Up-regulado"
"SPAG6",-1.0683423611111,0.114343154761905,-10.0412726039323,2.3559678506152e-22,8.13353263326065e-21,39.939893949421,"Down-regulado"
"TMEM8B",-1.03051197916666,0.0683639880952381,-10.0399070482661,2.38491861517549e-22,8.21828874089162e-21,39.927870207088,"Down-regulado"
"DYNC1H1",1.03648194444443,-0.0848267857142859,10.0393114801786,2.39765531558585e-22,8.24696285988894e-21,39.9226266099226,"Up-regulado"
"H2AC21",1.01806857638888,-0.13286875,10.0357109043334,2.47610584218959e-22,8.50114500267922e-21,39.8909308895482,"Up-regulado"
"DNAL4",-1.03186684027777,0.109264583333333,-10.033712552828,2.52073956147572e-22,8.63850509902422e-21,39.8733432268387,"Down-regulado"
"AMY2B",-1.0167923611111,0.0277568452380952,-10.0323364341529,2.5519385190821e-22,8.72940580968798e-21,39.8612334423105,"Down-regulado"
"MAP3K19",-1.04489895833332,0.114116369047619,-10.0227943196248,2.7790643921237e-22,9.48895532937738e-21,39.7772981204097,"Down-regulado"
"PTPRJ",1.0622876736111,-0.0694208333333331,10.020671932929,2.83224623049651e-22,9.65289468010644e-21,39.7586372550138,"Up-regulado"
"ACOX3",-1.01133489583332,0.131488988095238,-10.0140274376076,3.00535324403853e-22,1.02242226846826e-20,39.7002357308412,"Down-regulado"
"EFEMP2",1.06010243055555,-0.113033928571429,10.009115507122,3.14002925451421e-22,1.06629684339204e-20,39.6570815375227,"Up-regulado"
"ST3GAL2",1.06055538194443,-0.153458035714286,10.007946621384,3.17294946514096e-22,1.07552045663226e-20,39.6468145726476,"Up-regulado"
"NEK10",-1.05772256944444,0.150660119047619,-9.99868605051051,3.4461496238657e-22,1.16407048234242e-20,39.5655062857616,"Down-regulado"
"SOX4",1.01812656249999,-0.0822636904761905,9.99866973931957,3.44665083651206e-22,1.16407048234242e-20,39.565363123427,"Up-regulado"
"M6PR",1.06167690972221,-0.0545690476190475,9.99334700610507,3.61412967328427e-22,1.21843140628033e-20,39.5186553527669,"Up-regulado"
"CCDC198",-1.04477239583332,0.108739880952381,-9.99047629791878,3.70778030334842e-22,1.24775158064214e-20,39.4934723587063,"Down-regulado"
"PRRT1B",-1.04583107638888,0.115924702380952,-9.9889247238742,3.75939472154778e-22,1.26284559738036e-20,39.4798636376069,"Down-regulado"
"RGS22",-1.02074791666666,0.0900303571428572,-9.97039960004207,4.43351763486524e-22,1.48662134410014e-20,39.317506324672,"Down-regulado"
"WRNIP1",1.04237499999999,0.0145383928571428,9.96297650421204,4.73612519142109e-22,1.58524391039734e-20,39.2525138102549,"Up-regulado"
"CBS",1.03252899305555,-0.0233130952380951,9.95889221555876,4.91126746575108e-22,1.64092562536374e-20,39.2167698535244,"Up-regulado"
"CFAP221",-1.0146689236111,0.0911559523809524,-9.94896079729408,5.36439760431997e-22,1.78912239385507e-20,39.129901161151,"Down-regulado"
